_RAJ2000;_DEJ2000;Vmag;Sp;Rad;r_Diam
063.4850; +9.2639; 4.98;G5            ; 1.3e+01;H1
063.6346;+23.5750; 8.07;G3V           ; 1.0e+00;G4
063.6267;+22.4519; 7.08;F5V           ; 9.3e-01;F3
063.4087; -1.1497; 6.43;B5V           ; 3.4e+00;F4
063.4087; -1.1497; 6.46;B5V           ; 3.4e+00;W1
063.6429;+10.7014; 7.13;F8V           ;        ;M14
063.6429;+10.7014; 8.10;F5            ; 1.4e+00;G3
063.6508;+10.0114; 5.21;B9VN          ; 2.3e+00;F4
063.6262; +3.0219; 8.80;K4            ; 7.4e-01;J3
063.8504;+24.0786; 8.30;M2-M7III      ;        ;S45
063.9429;+15.4008; 6.32;F6III         ; 1.5e+00;W1
063.8837; +8.8922; 4.32;B3            ; 2.4e+00;H1
063.8837; +8.8922; 4.29;B3IV          ;        ;M14
063.8837; +8.8922; 4.28;B3V           ; 3.9e+00;W1
064.5608;+50.2956; 4.57;A2            ;        ;H1
063.8179; -7.6528; 4.43;K1V           ; 8.1e-01;L6
063.8179; -7.6528; 4.42;K1V           ;        ;O6
063.8179; -7.6528; 9.60;              ; 1.4e-02;B6
063.8179; -7.6528; 4.43;K1V           ; 8.5e-01;J3
063.8179; -7.6528; 4.43;K1V           ;        ;B52
063.8179; -7.6528; 4.43;K1V           ;        ;B53
063.5004;-42.2944; 3.85;K1III         ; 1.4e+01;W1
063.8417; -7.6594; 9.60;WB9           ; 1.7e-02;L12
063.8417; -7.6594;11.10;DM5E          ; 5.1e-01;L12
063.8417; -7.6594;11.16;M4VE          ; 2.8e-01;J3
063.8417; -7.6594; 9.53;AWD           ; 1.0e-02;J3
063.8417; -7.6594;11.17;M4.5          ; 2.4e-01;P30
065.1679;+65.1406; 5.27;G5III         ; 1.1e+01;W1
064.5337;+42.1411; 6.10;B8            ; 3.2e+00;W1
064.5337;+42.1411; 6.22;B8V           ; 2.6e+00;F4
064.3154;+20.5786; 4.94;A3M           ;        ;K19
064.3154;+20.5786; 4.80;A3            ; 1.5e+00;H1
064.5967;+21.5792; 5.65;A8V           ; 1.2e+00;F1
065.0479;+50.9208; 5.50;B2IV          ; 6.9e+00;W1
064.7550;+21.2994; 5.64;A1M           ; 1.8e+00;B33
063.6062;-62.4739; 3.35;G6II-III      ;        ;O6
063.9871;-53.3097; 7.68;K5V           ; 7.6e-01;J3
064.7833;+17.5247; 8.46;G8V           ;        ;M14
064.7833;+17.5247; 8.50;G8V           ; 1.0e+00;G4
064.0067;-51.4867; 4.24;F5V           ; 1.5e+00;W1
064.0067;-51.4867; 4.24;F2V           ; 1.2e+00;J3
064.8587;+21.1422; 5.28;B8P           ; 3.8e+00;B32
064.8587;+21.1422; 5.28;AP            ; 3.1e+00;W1
065.1025;+34.5667; 4.98;G8III         ; 1.3e+01;W1
064.5671;-20.7153; 6.00;M4III         ; 1.4e+01;G12
064.9483;+15.6278; 3.65;K0III         ;        ;B52
064.9483;+15.6278; 3.66;K0III         ; 1.2e+01;G4
064.9483;+15.6278; 3.65;K0III         ;        ;B53
064.9483;+15.6278; 3.66;K0III         ;        ;R16
064.9483;+15.6278; 3.65;K0IIIAB       ; 1.4e+01;C10
064.9483;+15.6278; 3.86;K0            ; 7.5e+00;H1
064.9483;+15.6278; 3.66;K0III         ; 1.2e+01;W1
065.3883;+46.4989; 4.89;B3            ; 4.3e+00;H1
065.3883;+46.4989; 4.85;B4IV          ; 4.5e+00;U4
065.3883;+46.4989; 4.85;B6III         ; 5.6e+00;W1
064.9904;+14.0353; 5.59;F3V           ; 1.6e+00;W1
064.9904;+14.0353; 5.59;A9N           ; 1.7e+00;G3
064.9904;+14.0353; 5.59;F3V           ; 9.1e-01;F1
065.7412;+59.6161; 6.19;A4V           ; 1.5e+00;F4
065.1046;+18.7425; 6.11;F3V           ; 1.6e+00;W1
064.1208;-59.3022; 4.44;K5IV          ; 6.6e+00;J3
064.1208;-59.3022; 4.44;K2IV          ;        ;O6
065.1513;+15.0956; 5.26;A8SG          ; 2.0e+00;G3
065.1513;+15.0956; 5.26;F0V           ; 1.1e+00;F1
065.1513;+15.0956; 5.26;F0V           ; 1.8e+00;W1
065.2196;+13.8644; 6.17;F7V           ; 1.4e+00;W1
065.3817;+21.0400; 6.80;F5V           ;        ;M14
065.3817;+21.0400; 6.88;F8            ; 1.6e+00;G3
065.3846;+18.4175; 6.75;F5V           ; 9.4e-01;F3
065.3950;+14.4097; 6.64;F5V           ; 9.0e-01;F3
065.1783; -7.5925; 5.84;B5III         ; 6.0e+00;W1
064.6667;-52.8600; 6.09;F5IV          ; 2.8e+00;W1
065.1625;-20.6397; 5.31;A2V           ; 2.2e+00;W1
065.1625;-20.6397; 5.36;A1V           ; 1.9e+00;F4
065.5146;+14.0772; 5.72;A3M           ; 1.8e+00;B33
065.6454;+25.6294; 5.39;B9.5V         ; 2.2e+00;F3
065.7337;+17.5425; 3.76;K0III         ;        ;B52
065.7337;+17.5425; 3.76;K0III         ;        ;B53
065.7337;+17.5425; 3.76;K0III         ;        ;T7
065.7337;+17.5425; 3.76;K0III         ;        ;B3
065.7337;+17.5425; 3.76;K0III         ; 1.3e+01;C10
065.7337;+17.5425; 3.76;K0III         ; 1.2e+01;W1
065.7337;+17.5425; 3.93;K0            ; 7.8e+00;H1
065.7337;+17.5425; 3.76;K0III         ; 1.4e+01;K10
065.7337;+17.5425; 3.76;K0III         ; 1.3e+01;G12
065.3804;-25.7286; 6.80;              ; 8.9e-01;J3
065.3804;-25.7286; 8.19;G0            ; 7.7e-01;J3
065.3804;-25.7286; 5.97;F1V           ; 1.1e+00;F3
065.3804;-25.7286; 5.98;F2V           ; 8.7e-01;J3
065.8850;+20.9819; 5.98;B8IV-V        ; 3.0e+00;F4
065.8850;+20.9819; 5.89;B9V           ; 3.1e+00;W1
065.8850;+20.9819; 5.99;              ;        ;K19
065.8546;+16.7772; 5.64;AM            ; 1.7e+00;G4
066.1217;+34.1308; 5.54;B7V           ; 3.0e+00;W1
066.1217;+34.1308; 5.72;B7V           ; 3.1e+00;F4
065.9992;+24.3011; 7.21;A1VP          ; 2.5e+00;F3
066.0242;+17.4442; 4.84;A5            ; 6.0e-01;H1
066.0242;+17.4442; 4.80;A7V           ;        ;M14
066.0242;+17.4442; 4.80;A7V           ; 1.8e+00;W1
066.0242;+17.4442; 4.80;A7V           ;        ;B52
066.0242;+17.4442; 4.80;A7V           ;        ;B53
066.0242;+17.4442; 4.80;A7V           ; 2.1e+00;G3
065.9658; +9.4608; 5.09;A3V           ; 1.5e+00;F3
066.0521;+14.7583; 8.00;G0            ; 1.2e+00;G3
066.0521;+14.7583; 7.62;G1V           ;        ;M14
065.9204; -3.7456; 4.95;A1V           ; 1.9e+00;F3
065.9204; -3.7456; 5.17;A1V           ; 2.2e+00;W1
066.2379;+19.0419; 5.97;A9N           ; 2.0e+00;G3
066.2379;+19.0419; 5.97;F4VN          ; 1.6e+00;W1
066.2379;+19.0419; 5.98;F4V           ;        ;M14
066.3425;+22.2939; 4.36;A3            ; 1.4e+00;H1
066.3425;+22.2939; 4.22;A7V           ; 2.8e+00;G3
066.3425;+22.2939; 4.22;A7IV-V        ;        ;M14
066.3425;+22.2939; 4.22;A7V           ; 1.8e+00;W1
066.3425;+22.2939; 4.22;A7V           ; 1.1e+00;F1
066.3542;+22.2000; 5.28;A7V           ; 1.3e+00;F1
066.3542;+22.2000; 5.28;A7V           ; 1.8e+00;W1
066.3725;+17.9278; 4.30;A2IV          ; 2.3e+00;G3
066.3725;+17.9278; 4.24;A2            ; 1.2e+00;H1
066.3725;+17.9278; 4.29;A2IV          ;        ;T7
066.3725;+17.9278; 4.30;A2V           ; 1.7e+00;F2
066.3725;+17.9278; 4.30;A2IVM         ; 2.1e+00;B19
066.3725;+17.9278; 4.30;A2IVM         ; 3.5e+00;L19
066.5262;+31.4389; 5.18;K1III         ; 1.4e+01;W1
066.5771;+22.8136; 4.40;A5            ; 1.8e+00;H1
066.5771;+22.8136; 4.30;A8VN          ;        ;Q4
066.5771;+22.8136; 4.29;F0III-IV      ;        ;W1
066.0092;-34.0169; 3.96;K5III         ;        ;O6
066.0092;-34.0169; 3.96;M1III         ; 5.4e+01;W1
066.5862;+15.6183; 4.63;F0V           ; 1.1e+00;F3
066.5862;+15.6183; 4.60;A5            ; 1.1e+00;H1
066.5862;+15.6183; 4.48;F0V           ; 1.8e+00;W1
065.4721;-63.3864; 5.18;G7III         ; 1.2e+01;W1
066.6517;+14.7139; 4.69;K0III         ;        ;B53
066.6517;+14.7139; 4.69;G7III         ;        ;B52
066.6517;+14.7139; 4.81;G8III         ; 1.3e+01;W1
066.6517;+14.7139; 4.94;K0            ;        ;H1
066.7529; +2.0794; 6.24;K1III         ; 1.4e+01;W1
067.0033;+21.6200; 5.72;A3M           ; 1.5e+00;B33
066.9871;+16.0431; 9.10;M5            ;        ;R16
066.9871;+16.0431; 9.10;M5            ;        ;R10
066.3296;-44.1608; 6.38;F6V           ; 1.4e+00;W1
066.0508;-57.0714; 7.40;G6V           ; 9.0e-01;J3
066.0508;-57.0714; 6.28;G4V           ; 9.9e-01;J3
067.1550;+19.7406; 8.64;G8V           ;        ;M14
067.1550;+19.7406; 8.59;G8V           ; 9.0e-01;G4
067.1100;+16.3597; 5.10;K2III         ;        ;R14
067.1100;+16.3597; 5.10;K2III         ; 1.6e+01;W1
067.1100;+16.3597; 5.00;K2III         ;        ;R10
067.0975;+14.7411; 5.90;F0IV          ;        ;M14
067.0975;+14.7411; 5.90;F0V           ; 1.6e+00;G3
067.1542;+19.1806; 3.53;G9.5III       ; 1.5e+01;G12
067.1542;+19.1806; 3.53;G9.5III       ; 1.5e+01;C10
067.1542;+19.1806; 3.54;K0III         ; 1.2e+01;W1
067.1542;+19.1806; 3.53;G9.5III       ;        ;B52
067.1542;+19.1806; 3.63;K0            ; 6.9e+00;H1
067.1542;+19.1806; 3.54;K1III         ; 1.3e+01;G4
067.1437;+15.9622; 3.85;K0III         ;        ;R14
067.1437;+15.9622; 3.85;K0IIIB        ;        ;B28
067.1437;+15.9622; 3.90;K0III         ;        ;W30
067.1437;+15.9622; 3.58;K0IIIB        ; 5.4e+01;E13
067.1437;+15.9622; 3.85;G9III         ; 1.2e+01;W1
067.1437;+15.9622; 3.85;K0IIIB        ; 1.3e+01;C10
067.1437;+15.9622; 3.84;K0III         ;        ;R10
067.1437;+15.9622; 3.85;G9III         ; 8.5e+00;W21
067.1437;+15.9622; 4.04;K0            ; 7.7e+00;H1
067.1654;+15.8708; 3.42;A7III         ;        ;O6
067.1654;+15.8708; 3.62;F0            ; 1.0e+00;H1
067.1654;+15.8708; 3.41;A7III         ; 4.2e+00;G3
067.1654;+15.8708; 3.41;A7III         ; 3.9e+00;W1
067.2504;+21.9228; 8.27;M1V           ; 7.1e-01;J3
067.2092;+13.0475; 5.03;A7V           ; 1.8e+00;W1
067.2092;+13.0475; 5.03;A7V           ; 1.2e+00;F1
067.3767;+17.8631; 6.91;F3            ;        ;T7
066.7750;-46.9475; 6.10;F8V           ; 1.3e+00;W1
067.6600;+32.4578; 6.18;B8V           ; 2.7e+00;F4
067.4287;+10.5219; 6.76;B5V           ; 4.2e+00;F4
067.5217;+16.1717; 7.80;MA            ;        ;R10
067.5217;+16.1717; 7.80;MA            ;        ;R16
067.5358;+15.6378; 7.97;G2V           ; 9.8e-01;L12
067.5358;+15.6378; 5.55;F0            ; 1.9e+00;L12
067.5358;+15.6378; 5.58;F0V           ; 1.2e+00;F1
067.2787;-13.0483; 5.59;B1VNE         ; 6.6e+00;W1
067.2787;-13.0483; 5.60;B IVNE        ; 9.2e+01;J9
067.8504;+40.0103; 6.24;B8V           ; 3.1e+00;F4
067.6400;+16.1939; 4.78;A7V           ; 1.1e+00;J3
067.6400;+16.1939; 4.78;A7V           ; 1.8e+00;W1
067.6400;+16.1939; 4.84;A5            ; 1.3e+00;H1
067.6400;+16.1939; 4.78;A7V           ; 1.2e+00;F1
067.6621;+15.6919; 5.48;A5M           ; 2.0e+00;L19
067.6621;+15.6919; 5.48;A5M           ; 1.5e+00;B33
068.4625;+56.7247; 8.14;A5V           ; 1.5e+00;F3
067.9658;+15.8517; 6.02;F4V           ; 1.6e+00;W1
067.9658;+15.8517; 6.02;F4V           ; 9.1e-01;F1
067.5458;-38.0292; 7.89;G5V           ; 8.4e-01;J3
067.9696; -0.0439; 4.91;K3II-III      ; 5.1e+01;W1
067.9696; -0.0439; 4.97;K0            ;        ;H1
067.8579;-13.6442; 6.23;A3V           ; 1.6e+00;F4
068.1567; -3.2094;     ;B9IIIP        ;        ;L18
068.3875;+18.0167; 6.23;B9VN          ; 2.5e+00;F4
067.7088;-44.9536; 5.07;B2IV-V        ;        ;M14
067.7088;-44.9536; 5.06;B3V           ; 3.9e+00;W1
068.4621;+14.8444; 4.75;A5            ; 1.5e+00;H1
068.4621;+14.8444; 4.66;F0V           ; 1.1e+00;F1
068.4621;+14.8444; 4.66;F0V           ; 1.8e+00;W1
068.4442;+13.2519; 6.61;F5V           ; 9.3e-01;F3
068.4508; +9.4136; 6.02;G8III         ; 1.3e+01;W1
068.4600; +5.3850; 8.00;K1            ; 8.3e-01;J3
068.5346; +5.5686; 5.64;A2V           ; 1.7e+00;F3
068.6471;+15.5047; 7.94;F8            ;        ;M14
068.6471;+15.5047; 8.10;F8            ; 1.0e+00;G3
068.7600;+17.2011; 7.00;K5            ;        ;R10
068.7600;+17.2011; 7.00;K5            ;        ;A2
068.5492; -8.9703; 5.27;K4III         ; 3.7e+01;W1
068.3775;-29.7664; 4.50;G6III         ; 1.1e+01;W1
069.1725;+41.2647; 4.46;K0+A3         ; 6.7e+01;H1
068.9800;+16.5092; 0.85;K5III         ;        ;E18
068.9800;+16.5092; 0.86;K5III         ;        ;R8
068.9800;+16.5092; 0.85;K5III         ;        ;M21
068.9800;+16.5092; 0.86;K5III         ;        ;L1
068.9800;+16.5092; 0.85;K5III         ;        ;W19
068.9800;+16.5092;13.20;M2V           ; 3.6e-01;J3
068.9800;+16.5092; 0.86;K5III         ;        ;C8
068.9800;+16.5092; 0.85;K5III         ;        ;D15
068.9800;+16.5092; 0.86;K5III         ;        ;B11
068.9800;+16.5092; 0.86;K5III         ;        ;B13
068.9800;+16.5092; 0.86;K5III         ;        ;S1
068.9800;+16.5092; 0.86;K5III         ; 4.5e+01;E14
068.9800;+16.5092; 0.85;K5III         ;        ;O6
068.9800;+16.5092; 0.85;K5III         ;        ;R12
068.9800;+16.5092; 0.86;K5III         ;        ;C15
068.9800;+16.5092; 0.86;K5III         ;        ;P11
068.9800;+16.5092; 0.86;K5III         ;        ;B3
068.9800;+16.5092; 0.87;K5III         ;        ;C2
068.9800;+16.5092; 0.86;K5III         ;        ;W24
068.9800;+16.5092; 0.86;K5III         ;        ;D10
068.9800;+16.5092; 0.86;K5III         ;        ;S26
068.9800;+16.5092; 0.85;K5III         ;        ;Q2
068.9800;+16.5092; 0.85;K5III         ;        ;B52
068.9800;+16.5092; 0.85;K5III         ; 4.4e+01;J3
068.9800;+16.5092; 1.06;K5            ; 2.3e+01;H1
068.9800;+16.5092; 0.85;K5III         ;        ;P24
068.9800;+16.5092; 0.86;K5.7III       ; 4.7e+01;W21
068.9800;+16.5092; 0.86;K5III         ; 5.2e+01;B22
068.9800;+16.5092; 0.86;K5III         ;        ;E13
068.9137;+10.1608; 4.38;A3            ; 2.3e+00;H1
068.9137;+10.1608; 4.26;AM            ; 2.2e+00;B19
068.7529;-19.9214; 6.11;K0            ; 2.8e+01;W1
069.1696;+15.8694; 6.61;F5V           ; 9.0e+01;F3
069.0796; -3.3525; 3.93;B2III         ; 7.8e+00;U4
069.0796; -3.3525; 4.12;B2            ; 5.4e+00;H1
069.0796; -3.3525; 4.12;B2III         ; 8.4e+00;W1
069.0796; -3.3525; 3.93;B2III         ; 8.3e+00;R13
069.3117;+18.5431; 7.13;F5IB-F9.5IB   ; 1.7e+01;B21
069.3117;+18.5431; 6.39;F6.7IB        ; 3.9e+01;M23
069.3117;+18.5431; 7.20;G0            ;        ;P7
069.3117;+18.5431; 7.13;F5IB-F9.5IB   ; 3.8e+01;C3
069.3117;+18.5431; 7.13;F5IB-F9.5IB   ; 2.2e+01;O3
069.3117;+18.5431; 6.39;F6.7IB        ; 3.3e+01;L22
069.3117;+18.5431; 6.39;F6.7IB        ; 2.8e+01;L28
069.3117;+18.5431; 6.39;F6.7:IB       ; 4.5e+01;R32
069.3117;+18.5431; 6.39;F6.7IB        ; 3.4e+01;G26
069.3117;+18.5431; 6.39;F6.7:IB       ; 2.1e+01;B61
068.8875;-30.5622; 3.81;K0III         ; 1.2e+01;W1
069.9879;+52.8194; 5.19;F0V           ; 1.2e+00;F4
069.3071; +0.9983; 5.30;B7V           ; 2.9e+00;F4
069.3071; +0.9983; 5.30;B7V           ; 3.0e+00;W1
068.5558;-55.3542; 4.27;A6V           ;        ;B52
068.5558;-55.3542; 4.27;A6V           ;        ;B53
069.5658;+20.6847; 5.70;B8V           ; 3.2e+00;W1
069.5658;+20.6847; 6.00;B8V           ; 3.3e+00;G9
069.5658;+20.6847; 5.92;F8-G2III-IV   ; 3.3e+00;P32
069.5658;+20.6847; 5.92;B8V           ; 2.9e+00;P32
069.5658;+20.6847;     ;K             ; 2.3e+00;G9
069.5396;+12.5108; 4.27;A5V           ; 2.4e+00;G3
069.5396;+12.5108; 4.33;A5V           ; 1.4e+00;F3
069.5396;+12.5108; 4.27;A5V           ; 1.9e+00;W1
069.5396;+12.5108; 4.30;A3            ; 9.0e-01;H1
069.5396;+12.5108; 4.27;A6V           ;        ;M14
069.2121;-30.7167; 6.29;B9IV-V        ; 3.1e+00;W1
069.2121;-30.7167; 6.27;B9IV-V        ; 2.2e+00;F4
069.8462;+25.2183; 6.21;A5VN          ; 1.5e+00;F4
069.8187;+15.9181; 4.68;A5V           ; 1.4e+00;F1
069.8187;+15.9181; 4.85;A3            ; 8.0e-01;H1
069.8187;+15.9181; 4.68;A5V           ; 1.9e+00;W1
069.5450;-14.3039; 7.10;              ; 9.3e-01;J3
069.5450;-14.3039; 3.86;K2III         ; 9.9e+00;J3
069.5675;-24.6586; 8.50;B8            ; 3.8e+01;J9
069.7233;-12.1231; 5.00;A2IVM         ; 1.7e+00;B33
070.0142;+12.1975; 5.38;B7IV          ; 4.4e+00;W1
069.8321;-14.3592; 5.44;K1IV          ; 4.2e+00;W1
070.3287;+20.9014; 8.02;K3VE          ; 7.2e-01;J3
069.1900;-62.0772; 5.40;M8III         ;        ;O6
069.1900;-62.0772; 5.40;M8            ; 3.7e+02;B59
070.7262;+43.3650; 5.28;A1VN          ; 1.8e+00;F3
070.7262;+43.3650; 5.21;A0            ; 2.5e+00;W1
070.0283;-24.4825; 5.57;G6III         ; 1.1e+01;W1
070.5612;+22.9569; 4.32;B3V           ; 3.9e+00;W1
070.5612;+22.9569; 4.33;B5            ; 2.4e+00;H1
070.1404;-41.8639;12.50;              ; 4.5e-01;J3
070.1404;-41.8639; 4.45;F2V           ; 1.3e+00;J3
070.1404;-41.8639; 4.43;F2V           ; 1.0e+00;F4
070.8975;+27.6875; 8.00;K3            ; 8.2e-01;J3
070.5146;-37.1442; 5.04;F8V           ; 1.3e+00;W1
070.5146;-37.1442; 5.04;F8V           ; 1.1e+00;J3
070.0742;-58.9439; 7.40;              ; 8.1e-01;J3
070.0742;-58.9439; 6.53;G5V           ; 8.3e-01;J3
071.1075;+11.1461; 5.47;F0V           ; 1.1e+00;F3
070.9408;-10.6822; 7.70;A8-FOIV       ; 2.8e+00;B47
070.9408;-10.6822;     ;F5            ; 2.5e+00;P3
070.9408;-10.6822; 8.04;G8            ; 8.3e+00;P3
070.9408;-10.6822;     ;G8-K0IV-III   ; 6.8e+00;B47
071.0221; -8.5036; 5.92;B5            ; 4.5e+00;W1
071.4271;+23.6281; 6.16;B5III         ; 6.0e+00;W1
071.0333;-18.6667; 5.52;A1V           ; 2.5e+00;W1
071.0333;-18.6667; 5.51;A3V           ; 1.5e+00;F4
071.5071;+11.7056; 5.37;A2M           ; 2.0e+00;B33
071.3758; -3.2547; 4.18;B5            ; 2.4e+00;H1
071.3758; -3.2547; 4.02;B5IV          ; 5.9e+00;U4
071.3758; -3.2547; 4.02;B5IV          ;        ;M14
071.3758; -3.2547; 4.02;B5IV          ;        ;M19
071.3758; -3.2547; 4.02;B5IV          ; 5.0e+00;W1
071.9429;+36.7228; 7.96;F6-G1         ; 4.9e+01;B20
071.9429;+36.7228; 7.90;F0            ; 3.9e+01;B41
071.9429;+36.7228; 7.96;F6-G1         ; 3.6e+01;O3
071.9429;+36.7228; 7.96;F6-G1         ;        ;P7
071.9429;+36.7228; 7.96;F6-G1         ; 7.1e+01;E9
071.9429;+36.7228; 7.06;F0            ; 5.5e+01;R32
071.9429;+36.7228; 7.06;F0            ; 4.5e+01;M23
072.2296;+50.0894; 6.95;C6.4          ;        ;S35
071.6008; -2.9544; 6.33;A2V           ; 1.7e+00;F4
075.0862;+81.1942; 5.15;K3III         ; 2.8e+01;W1
071.6071;-28.0875; 6.18;A3IV          ; 2.5e+00;W1
072.3033;+31.4375; 5.64;K1III         ; 1.6e+01;W1
072.0667;+11.0181; 9.12;B9.5V         ; 3.1e+00;F2
071.9012;-16.9344; 5.09;F5V           ; 9.9e-01;F3
071.9012;-16.9344; 5.51;G1V           ; 9.6e-01;J3
071.9012;-16.9344; 5.50;DG1           ; 9.9e-01;P31
071.4108;-50.0742; 7.58;K0V           ; 8.6e-01;J3
072.4775;+37.4883; 4.92;K4III         ; 3.7e+01;W1
072.1858; +3.5886; 6.04;K1III         ; 1.4e+01;W1
072.1517; -5.6742; 5.76;G0V           ; 1.1e+00;W1
071.9567;-30.0203; 6.36;K0            ; 4.2e+00;W1
070.7667;-70.9311; 5.53;B9IV          ; 3.3e+00;W1
073.5125;+66.3428; 4.29;O9.5IA        ;        ;O6
073.5125;+66.3428; 4.29;O9.5IA        ;        ;W1
073.5125;+66.3428; 4.38;B0            ; 8.1e+00;H1
073.5125;+66.3428; 4.29;O9.5IA        ; 3.3e+01;R13
073.5125;+66.3428; 4.29;O9.5IA        ; 3.7e+01;U4
072.9317;+45.8342; 6.97;G1V           ; 9.5e-01;J3
072.4600; +6.9614; 3.19;F6V           ; 1.3e+00;L6
072.4600; +6.9614; 3.31;F6V           ; 2.5e+00;C1
072.4600; +6.9614; 3.19;F6V           ; 1.3e+00;P31
072.4600; +6.9614; 3.19;F6V           ; 1.1e+00;J3
072.4600; +6.9614; 3.31;F8            ; 9.0e-01;H1
072.4600; +6.9614; 3.19;F6V           ; 1.3e+00;G3
072.4600; +6.9614; 3.19;F6V           ; 1.4e+00;W1
072.4600; +6.9614; 3.19;F6V           ;        ;O6
072.6529; +8.9003; 4.32;A0V           ; 2.0e+00;B19
072.6529; +8.9003; 4.32;A0V           ; 2.0e+00;F2
072.6529; +8.9003; 4.35;A0            ;        ;H1
072.6529; +8.9003; 4.32;A0V           ; 2.7e+00;W1
072.6529; +8.9003; 4.36;A1V           ;        ;M14
072.4258;-13.7697; 6.26;F5V           ; 9.8e-01;F4
072.4258;-13.7697; 6.26;F2            ; 1.5e+00;W1
073.2908;+52.8411; 6.41;A2V           ; 1.7e+00;F4
072.8437;+18.8397; 5.18;A9IIIN        ;        ;B51
072.5483;-16.2172; 5.16;K0III         ; 1.2e+01;W1
073.1992;+42.5867; 5.72;A3III         ; 4.9e+00;W1
073.1583;+36.7031; 4.77;K3III         ; 2.8e+01;W1
072.8017; +5.6050; 3.69;B2III         ; 9.3e+00;R13
072.8017; +5.6050; 3.69;B2III         ; 9.1e+00;U4
072.8017; +5.6050; 3.69;B2III         ; 8.4e+00;W1
072.8017; +5.6050; 3.78;B3            ; 8.0e+00;H1
072.8017; +5.6050; 3.69;B2III         ;        ;M14
072.9583;+13.6553; 6.35;DF6           ; 1.2e+00;L12
073.1333;+14.2506; 4.74;M3S           ;        ;O6
072.8675;-34.9064; 5.81;A1V           ; 2.0e+00;F4
073.4825; +1.5694; 6.58;A1VN          ; 2.0e+00;F4
073.5629; +2.4406; 3.72;B2III         ;        ;M14
073.5629; +2.4406; 3.72;B2III         ; 8.4e+00;W1
073.5629; +2.4406; 3.87;B3            ; 3.1e+00;H1
073.5629; +2.4406; 3.72;B2III         ; 1.0e+00;R13
073.5629; +2.4406; 3.72;B2III         ; 9.9e+00;U4
074.3217;+53.7522; 4.44;A2            ; 1.6e+00;H1
074.3217;+53.7522; 4.51;A1V           ; 1.9e+00;F3
073.6954;+11.4261; 5.18;A3V           ; 1.6e+00;F4
073.7237;+10.1508; 4.66;A0P           ; 2.7e+00;W1
073.7237;+10.1508; 4.74;A0            ; 1.8e+00;H1
073.7237;+10.1508; 4.66;A0P           ; 2.7e+00;B19
075.5825;+74.2694; 6.06;K5III         ; 4.8e+01;W1
074.0838;+36.1686; 6.06;B2IB          ; 3.0e+01;W1
073.9592;+15.0403; 5.68;B8III         ; 4.2e+00;W1
074.2483;+33.1661; 2.69;K3II          ;        ;O6
074.2483;+33.1661; 2.66;K3II          ; 1.2e+02;W1
074.2483;+33.1661; 2.90;K2            ; 2.4e+01;H1
074.2483;+33.1661; 2.66;K3II          ;        ;B3
073.9933; +5.3989; 6.48;A0V           ; 2.1e+00;F4
073.9829; +4.6706; 7.80;F8            ; 8.6e-01;J3
074.0929;+13.5144; 4.28;K0            ; 1.3e+01;H1
074.0446; +2.9342; 8.80;K0            ; 7.7e-01;J3
074.1008; -5.1714; 5.48;B6V           ; 3.2e+00;F4
074.8142;+37.8903; 4.99;A0            ;        ;H1
074.8142;+37.8903; 4.93;A0V           ; 2.1e+00;F2
074.8142;+37.8903; 4.93;A1V           ; 2.7e+00;B32
074.4363;-14.2319; 6.14;B1V           ; 6.6e+00;W1
074.5454; -2.2128; 6.33;A2V           ; 1.8e+00;F4
074.7383;+14.5494; 8.00;B6V           ; 3.7e+00;F2
074.7475;+14.5433; 5.92;B6V           ; 4.1e+00;F2
074.6371; +1.7139; 4.73;K0            ; 2.0e+01;H1
074.6371; +1.7139; 4.46;K2II          ; 9.9e+01;W1
074.9742;+27.3256; 6.94;B7V           ; 4.0e+00;F4
075.8546;+60.4422; 4.03;G0IB          ;        ;O6
075.8546;+60.4422; 4.08;G0IB          ; 1.1e+02;P7
075.8546;+60.4422; 4.22;G0P           ; 3.5e+01;H1
075.3467;+39.9603; 8.14;F8-G8         ; 1.1e+02;O3
075.3467;+39.9603; 8.14;F8-G8         ; 7.1e+01;C3
075.3467;+39.9603; 8.14;F8-G8         ; 5.9e+01;E9
075.3467;+39.9603; 7.35;G0IAB         ; 6.1e+01;M23
075.3467;+39.9603; 8.14;F8.8          ; 5.2e+01;O4
075.3467;+39.9603; 8.14;F8-G8         ;        ;P7
075.4921;+43.8233;     ;F0            ; 2.0e+02;P3
075.4921;+43.8233; 3.42;A8            ; 2.7e+03;P3
075.4921;+43.8233; 3.18;F5P           ; 2.0e+01;H1
075.4921;+43.8233; 2.99;F0IA          ;        ;O6
075.4921;+43.8233;11.70;              ; 3.0e+02;W27
075.4921;+43.8233; 3.50;F5            ; 1.0e+03;W27
075.4921;+43.8233;     ;M             ; 7.2e+02;G2
075.4921;+43.8233; 3.50;F5            ; 1.3e+03;G2
073.2733;-72.4078; 6.28;F8V           ; 1.3e+00;W1
075.1354; +3.6147; 7.03;B8V           ; 2.7e+00;F4
075.1412; +3.6158; 6.66;B9VN          ; 2.3e+00;F4
074.9821;-12.5375; 4.78;F0IV          ;        ;W1
075.6196;+41.0758;     ;B9            ; 4.9e+00;G2
075.6196;+41.0758; 4.93;K4IB          ; 1.9e+02;W4
075.6196;+41.0758; 4.93;K5            ; 2.4e+02;G2
